Full_ID,Generation,DOB,DOD,Age_days,TotalLength_mm,TailLength_mm,HindFootLength_mm,EarLength_mm,BodyWeight_g,FinalTailLength_mm,Short_ID,Sex,Population,Environment,Dorsal_fur_depth,Dorsal_fur_length,AVG_conductance,STD_conductance,Conductivity
193x255_MANA50,N14,11/7/19,3/7/20,121,170.5,88,19,15.5,16.16,88,MANA50,M,BRAZIL,RT,0.001,0.004,24.78745476,0.554100579,0.024787455
193x255_MANA51,N13,12/2/18,3/7/20,461,170,86.5,18,15,15.8,86.5,MANA51,F,BRAZIL,RT,0.00075,0.004,22.09748854,0.559650038,0.016573116
193x255_MANA52,N13,10/15/19,3/7/20,144,176,90.5,18,15.5,18.05,90.5,MANA52,M,BRAZIL,RT,0.0005,0.0035,22.08919483,0.58711338,0.011044597
193x255_MANA53,N13,10/15/19,3/7/20,144,167,84,18.5,15,14.3,84,MANA53,F,BRAZIL,RT,0.001,0.003,21.43078943,0.60737119,0.021430789
193x255_MANA54,N13,10/15/19,3/7/20,144,173,90,18.5,15,16.48,90,MANA54,M,BRAZIL,RT,0.001,0.004,25.24006344,0.571254921,0.025240063
19x13_MJS615,N11,3/16/18,9/29/19,562,188,80,19,15,27.97,80,MJS615,F,NEW_YORK,RT,0.001,0.005,19.01082412,0.493716171,0.019010824
19x13_MJS616,N11,3/16/18,9/29/19,562,183,83,20,15,29.48,83,MJS616,F,NEW_YORK,RT,0.001,0.005,17.06247722,0.541217587,0.017062477
19x13_MJS623,N12,6/11/18,9/29/19,475,176,82,18.5,15,23.59,82,MJS623,F,NEW_YORK,RT,0.001,0.0055,17.82800591,0.475358545,0.017828006
19x13_MJS624,N12,6/11/18,9/29/19,475,180.5,83,19,15.5,25.92,83,MJS624,M,NEW_YORK,RT,0.001,0.0045,17.82800591,0.475358545,0.017828006
19x13_MJS625,N13,8/17/18,9/29/19,408,188,88,19,15.5,30.05,88,MJS625,F,NEW_YORK,RT,0.00075,0.005,17.76490976,0.502877946,0.013323682
19x13_MJS626,N13,8/17/18,9/29/19,408,179,79,19,15.5,29.74,79,MJS626,M,NEW_YORK,RT,0.0005,0.0065,20.0394362,0.438765881,0.010019718
19x13_MJS627,N14,11/22/18,11/23/19,366,182,83.5,20,15,25.05,83.5,MJS627,F,NEW_YORK,RT,0.00075,0.005,20.49097407,0.551555525,0.015368231
19x13_MJS628,N14,11/22/18,11/23/19,366,185,85,20,14.5,26.72,85,MJS628,M,NEW_YORK,RT,0.001,0.0055,22.35489364,0.541353796,0.022354894
19x13_NY22,N14,2/4/19,4/27/19,82,161,76,20,14,17.54,75.5,NY22,M,NEW_YORK,RT,0.0005,0.005,21.79431078,0.666437319,0.010897155
19x13_NY24,N12,4/6/19,6/18/19,73,158,72,19,14,17.95,73,NY24,M,NEW_YORK,RT,0.001,0.005,21.19227476,0.583791348,0.021192275
19x13_NY25,N12,4/6/19,6/20/19,75,151,70,18.5,14,14.08,70.5,NY25,F,NEW_YORK,RT,0.001,0.004,25.0705477,0.754636193,0.025070548
19x13_NY28,N14,4/19/19,7/6/19,78,162,75,20,14.5,17.91,76,NY28,M,NEW_YORK,RT,0.001,0.004,20.4313073,0.548478113,0.020431307
19x13_NY29,N14,4/19/19,7/6/19,78,158,74,19,14,14.97,73.5,NY29,F,NEW_YORK,RT,0.001,0.004,24.06531569,0.736074325,0.024065316
19x13_NY30,N14,4/19/19,7/19/19,91,162,73.5,19,14,18.26,73,NY30,M,NEW_YORK,RT,0.001,0.005,21.66207165,0.581933504,0.021662072
19x13_NY31,N14,4/19/19,7/6/19,78,161,73,19,14,14.78,73,NY31,F,NEW_YORK,RT,0.001,0.0045,17.67097507,0.59352499,0.017670975
19x13_NY33,N12,4/28/19,7/19/19,82,159,71.5,19,14,17.23,72,NY33,F,NEW_YORK,RT,0.001,0.005,19.96851874,0.583475682,0.019968519
19x13_NY34,N12,4/28/19,7/19/19,82,156.5,72,19,14,16.31,72,NY34,M,NEW_YORK,RT,0.001,0.0045,20.38796314,0.740472874,0.020387963
19x13_SARA50,N15,7/7/19,2/29/20,237,176,83.5,21,15,18.78,83.5,SARA50,M,NEW_YORK,RT,0.001,0.006,18.21778974,0.46164623,0.01821779
19x13_SARA51,N15,5/3/19,2/29/20,302,180,81,19,15,22.51,81,SARA51,F,NEW_YORK,RT,0.001,0.005,21.47525557,0.431801456,0.021475256
19x13_SARA52,N16,10/24/19,3/7/20,135,169,78,20,14,22.46,78,SARA52,M,NEW_YORK,RT,0.0005,0.005,19.57466438,0.470978933,0.009787332
19x13_SARA53,N16,10/24/19,3/7/20,135,163,75.5,19,14,17.45,75.5,SARA53,F,NEW_YORK,RT,0.001,0.005,17.30745712,0.408634891,0.017307457
19x13_SARA54,N16,10/24/19,3/7/20,135,172,80,20,14.5,21.18,80,SARA54,M,NEW_YORK,RT,0.0005,0.005,19.74841806,0.521951022,0.009874209
19x13_SARA56,N16,10/24/19,3/7/20,135,175,83,19,14,21.16,83,SARA56,M,NEW_YORK,RT,0.0005,0.004,20.547394,0.570636623,0.010273697
19x13_SARA58,N16,10/29/19,3/8/20,131,168,80,20,14.5,17.1,80,SARA58,M,NEW_YORK,RT,0.0005,0.004,19.70895737,0.538736463,0.009854479
