DOB,DateMeasured,Age_days,Age_weeks,Population,Generation,Line,Mouse_ID,Sex,Environment,TotalLength_mm,TailLength_mm,HindFootLength_mm,EarLength_mm,BodyWeight_g,WeaningBodyWeight_g,WeaningTailLength_mm,StartExpBodyWeight_g,StartExpTailLength_mm,FinalTailLength_mm,BodyLength_mm,BMI_kg_m2,BAT_mass_g,
10/29/18,1/16/19,79,11.28571429,BRAZIL,N11,193x255,193x255_BZ21,F,COLD,147,73,17,13.5,11.83,6.6,,7.6,63.5,73,74,2.160336012,,
10/29/18,1/16/19,79,11.28571429,BRAZIL,N11,193x255,193x255_BZ23,F,RT,156,78,17,14,11.79,7.27,,8.14,61.5,77.5,78.5,1.913262201,,
11/23/18,2/2/19,71,10.14285714,BRAZIL,N11,193x255,193x255_BZ18,M,RT,149,81,17,14,10.92,6.23,,6.29,61.5,80,69,2.293635791,0.0422,
11/23/18,2/2/19,71,10.14285714,BRAZIL,N11,193x255,193x255_BZ20,M,COLD,152,74.5,17.5,13,12.29,6.72,,6.81,64,74,78,2.020052597,0.076,
11/23/18,2/2/19,71,10.14285714,BRAZIL,N11,193x255,193x255_BZ25,F,COLD,150,76,17,13.5,11.62,6.9,,7.24,65.5,75.5,74.5,2.093599387,0.0635,
11/23/18,2/2/19,71,10.14285714,BRAZIL,N11,193x255,193x255_BZ27,F,RT,156,80,17,14,10.87,7.56,,7.71,67,80.5,75.5,1.906933906,,
11/23/18,2/2/19,71,10.14285714,BRAZIL,N11,193x255,193x255_BZ29,F,COLD,148,74.5,17,13,11.34,6.78,,6.73,,73,75,2.016,0.0705,
12/18/18,3/2/19,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ31,F,RT,153,79,17,14,11.61,,,7,64,79,74,2.120160701,0.055,
12/18/18,3/2/19,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ33,F,COLD,147,71,17.5,12.5,11.81,,,7.13,58.5,71,76,2.04466759,0.075,
2/1/19,4/22/19,80,11.42857143,BRAZIL,N11,193x255,193x255_BZ26,M,COLD,151,73,18,13.5,12.87,,,7.19,65,72.5,78.5,2.088522861,,
2/1/19,4/21/19,79,11.28571429,BRAZIL,N11,193x255,193x255_BZ28,M,COLD,156.5,74,18,13.5,14.05,,,7.91,63.5,75,81.5,2.115247092,0.071,
2/1/19,4/21/19,79,11.28571429,BRAZIL,N11,193x255,193x255_BZ30,M,RT,160,83,18,14,14.05,,,8.12,69,83,77,2.369708214,0.054,
4/17/19,7/7/19,81,11.57142857,BRAZIL,N13,193x255,193x255_BZ37,F,RT,153,78,17,15,12.21,,,7.25,60.5,77,76,2.113919668,0.0538,
4/17/19,7/7/19,81,11.57142857,BRAZIL,N13,193x255,193x255_BZ39,F,COLD,155.5,76,18,14,13.47,,,7.07,62,75.5,80,2.1046875,0.078,
4/22/19,7/7/19,76,10.85714286,BRAZIL,N13,193x255,193x255_BZ34,M,RT,165,78.5,18,14,13.89,,,6.14,60.5,80,85,1.922491349,0.0483,
4/22/19,7/7/19,76,10.85714286,BRAZIL,N13,193x255,193x255_BZ38,M,COLD,148,72,18,13,13.59,,,6.04,61,72,76,2.352839335,0.0647,
4/17/19,7/17/19,91,13,BRAZIL,N13,193x255,193x255_BZ35,F,RT,142,68,17,14,11.37,,,6.24,,,74,2.07633309,0.0414,Damaged Tail
4/22/19,7/17/19,86,12.28571429,BRAZIL,N13,193x255,193x255_BZ41,F,COLD,148,71.5,17,13.5,11.74,,,5.57,56.5,71,77,1.980097824,0.0616,
4/22/19,7/17/19,86,12.28571429,BRAZIL,N13,193x255,193x255_BZ43,F,RT,155.5,78,17.5,14.5,11.23,,,6.26,60.5,78,77.5,1.869719043,0.0425,
4/22/19,7/17/19,86,12.28571429,BRAZIL,N13,193x255,193x255_BZ36,M,RT,157.5,80,18,14,11.8,,,6.29,59.5,79.5,78,1.939513478,0.037,
10/22/18,1/12/19,82,11.71428571,F1_HYBRID,F1,19x13X193x255,NYBZ4,M,COLD,174,82,18.5,14,18.34,,,,,82,92,2.166824197,,
10/22/18,1/12/19,82,11.71428571,F1_HYBRID,F1,19x13X193x255,NYBZ6,M,RT,168,81.5,18,14.5,16.47,,,,,82.5,85.5,2.253000923,,
10/22/18,1/12/19,82,11.71428571,F1_HYBRID,F1,19x13X193x255,NYBZ8,M,COLD,176,85,18,14.5,18.53,,,,,84.5,91.5,2.213264057,,
10/22/18,1/12/19,82,11.71428571,F1_HYBRID,F1,19x13X193x255,NYBZ10,M,RT,170,82,17.5,14,17.61,,,,,83,87,2.326595323,,
10/22/18,1/12/19,82,11.71428571,F1_HYBRID,F1,19x13X193x255,NYBZ12,M,COLD,169,86,18,14,18.13,,,,,85,84,2.569444444,,
10/22/18,1/12/19,82,11.71428571,F1_HYBRID,F1,19x13X193x255,NYBZ14,M,COLD,169.5,82,19,14.5,18.77,,,,,81.5,88,2.423811983,,
10/22/18,1/12/19,82,11.71428571,F1_HYBRID,F1,19x13X193x255,NYBZ16,M,RT,174,87,18.5,14,18.55,,,,,87,87,2.450786101,,
11/14/18,1/27/19,74,10.57142857,F1_HYBRID,F1,19x13X193x255,NYBZ7,F,RT,157,80.5,18.5,15,14.02,,,,,80,77,2.364648339,,
11/14/18,1/27/19,74,10.57142857,F1_HYBRID,F1,19x13X193x255,NYBZ9,F,COLD,159,82,19,14,15.23,,,,,81.5,77.5,2.535691988,,
11/14/18,1/27/19,74,10.57142857,F1_HYBRID,F1,19x13X193x255,NYBZ18,M,COLD,170.5,84,19,14,18.16,,,,,83,87.5,2.371918367,,
11/14/18,1/27/19,74,10.57142857,F1_HYBRID,F1,19x13X193x255,NYBZ20,M,RT,167,82,20,13.5,15.96,,,,,82,85,2.20899654,,
1/11/19,4/20/19,99,14.14285714,F1_HYBRID,F1,19x13X193x255,NYBZ11,F,RT,165,82,19,14.5,14.46,,,,,82.5,82.5,2.124517906,,
1/11/19,4/20/19,99,14.14285714,F1_HYBRID,F1,19x13X193x255,NYBZ22,M,RT,172,86,20,15,20.44,,,,,86,86,2.76365603,,
2/1/19,4/20/19,78,11.14285714,F1_HYBRID,F1,19x13X193x255,NYBZ13,F,COLD,155,73,18,13.5,13.73,,,,,74,81,2.0926688,0.1005,
2/1/19,4/20/19,78,11.14285714,F1_HYBRID,F1,19x13X193x255,NYBZ15,F,COLD,163,76,19,14,13.78,,,,,76.5,86.5,1.841692004,0.0924,
2/1/19,4/21/19,79,11.28571429,F1_HYBRID,F1,19x13X193x255,NYBZ24,M,COLD,171,80,19,14.5,17.35,,,,,80.5,90.5,2.118372455,0.112,
2/1/19,4/22/19,80,11.42857143,F1_HYBRID,F1,19x13X193x255,NYBZ26,M,COLD,159,80,19,13.5,16.71,,,,,79,80,2.6109375,,
2/1/19,4/22/19,80,11.42857143,F1_HYBRID,F1,19x13X193x255,NYBZ28,M,RT,167.5,80.5,19.5,14,16.03,,,,,81,86.5,2.142403689,,
2/1/19,4/21/19,79,11.28571429,F1_HYBRID,F1,19x13X193x255,NYBZ30,M,RT,166,81.5,19,14,16.32,,,,,82,84,2.31292517,0.065,
2/24/19,5/14/19,79,11.28571429,F1_HYBRID,F1,19x13X193x255,NYBZ17,F,COLD,155,73,19,13.5,13.55,,,,,73.5,81.5,2.039971395,0.084,
2/24/19,5/14/19,79,11.28571429,F1_HYBRID,F1,19x13X193x255,NYBZ19,F,RT,168.5,82.5,19,14,15.66,,,,,81.5,87,2.068965517,0.071,
2/24/19,5/14/19,79,11.28571429,F1_HYBRID,F1,19x13X193x255,NYBZ21,F,RT,162,77,19,14.5,13.63,,,,,77.5,84.5,1.908896747,0.064,
2/24/19,5/15/19,80,11.42857143,F1_HYBRID,F1,19x13X193x255,NYBZ32,M,RT,162,80,19,13.5,16.9,,,,,81,81,2.575826856,,
2/24/19,5/14/19,79,11.28571429,F1_HYBRID,F1,19x13X193x255,NYBZ34,M,COLD,167,81,18,13.5,18.7,,,,,80.5,86.5,2.499248221,0.068,
4/9/19,7/5/19,87,12.42857143,F1_HYBRID,F1,19x13X193x255,NYBZ23,F,COLD,170.5,77,19,13.5,15.85,,,,,76,94.5,1.774866325,0.0631,
4/9/19,7/5/19,87,12.42857143,F1_HYBRID,F1,19x13X193x255,NYBZ25,F,COLD,166.5,76.5,19.5,13.5,15.2,,,,,76,90.5,1.855865206,0.1478,
4/9/19,7/5/19,87,12.42857143,F1_HYBRID,F1,19x13X193x255,NYBZ27,F,RT,161,78.5,18.5,14,14.23,,,,,78,83,2.065611845,0.0715,
4/9/19,7/5/19,87,12.42857143,F1_HYBRID,F1,19x13X193x255,NYBZ36,M,RT,169.5,81,19,14.5,17.05,,,,,81,88.5,2.176896805,0.1025,
6/10/18,8/26/18,77,11,NEW_YORK,N12,82x81,82x81_NY1,F,COLD,155,62,18,13,18.1,11.34,58,13.63,61,64.5,90.5,2.209944751,,
6/10/18,8/26/18,77,11,NEW_YORK,N12,82x81,82x81_NY2,M,RT,176,69,18.5,14.5,21.84,10.02,53,12.1,62.5,72,104,2.019230769,,
6/10/18,8/26/18,77,11,NEW_YORK,N12,82x81,82x81_NY4,M,COLD,162,64,18,14,18.38,9.89,56,12.36,61.5,65.5,96.5,1.973744262,,
6/10/18,8/26/18,77,11,NEW_YORK,N12,82x81,82x81_NY6,M,COLD,156,65,18,13,18.38,10.38,56,12.56,63,66.5,89.5,2.294560095,,
6/10/18,8/26/18,77,11,NEW_YORK,N12,82x81,82x81_NY8,M,RT,165,69,18,15,21.35,10.61,56,12.64,62.5,71.5,93.5,2.442163059,,
6/10/18,8/26/18,77,11,NEW_YORK,N12,82x81,82x81_NY10,M,RT,171,68,17,14,19.23,10.18,56,13.15,62.5,70.5,100.5,1.903913269,,
7/7/18,9/17/18,72,10.28571429,NEW_YORK,N12,82x81,82x81_NY3,F,RT,162,69,18.5,14,17.72,10.88,57,13.7,61,71,91,2.139838184,,
7/7/18,9/17/18,72,10.28571429,NEW_YORK,N12,82x81,82x81_NY5,F,COLD,158,66.5,18,13.5,17.8,10.87,55,12.65,58.5,67,91,2.149498853,,
7/7/18,9/17/18,72,10.28571429,NEW_YORK,N12,82x81,82x81_NY7,F,RT,164,67,18,14.5,16.61,10.63,55.5,13.17,60,67.5,96.5,1.783672045,,
8/19/18,11/3/18,76,10.85714286,NEW_YORK,N12,82x81,82x81_NY9,F,COLD,144,63,17.5,13,15.72,10.13,56.5,10.37,57,63.5,80.5,2.425832337,,
8/19/18,11/3/18,76,10.85714286,NEW_YORK,N12,82x81,82x81_NY11,F,COLD,156,71,18,14,19.59,12.06,60.5,13.06,62,71.5,84.5,2.743601415,,
8/19/18,11/3/18,76,10.85714286,NEW_YORK,N12,82x81,82x81_NY12,M,COLD,163,74,18.5,13.5,23.48,12.83,62,13.68,63.5,74.5,88.5,2.997861406,,
8/19/18,11/3/18,76,10.85714286,NEW_YORK,N12,82x81,82x81_NY13,F,RT,154,69,17.5,14,16.36,11.04,59,11.56,61,69,85,2.264359862,,
8/19/18,11/3/18,76,10.85714286,NEW_YORK,N12,82x81,82x81_NY15,F,COLD,156.5,70,18,14,18.88,11.56,60.5,11.78,62,70,86.5,2.523305156,,
8/19/18,11/3/18,76,10.85714286,NEW_YORK,N12,82x81,82x81_NY17,F,RT,156,70,17,14,16.82,11.59,59,11.44,60.5,70,86,2.274202271,,
6/29/18,9/10/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY1,F,RT,171,71,18.5,13.5,12.96,8.7,55.5,11.66,60,72,99,1.32231405,,
6/29/18,9/10/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY2,M,RT,168,75.5,18,13,14.52,8.18,55,10.38,61.5,75.5,92.5,1.697005113,,
6/29/18,9/10/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY3,F,RT,151,69.5,18,14,13.13,8.89,56,11.05,60.5,71,80,2.0515625,,
6/29/18,9/10/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY4,M,COLD,163.5,71,18.5,13,15.3,8.46,53,10.58,57,70.5,93,1.768990635,,
6/29/18,9/10/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY5,F,COLD,163.5,69,18.5,13,12.52,8.5,55.5,11.29,58,69.5,94,1.416930738,,
7/20/18,10/1/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY7,F,COLD,161,72,18,12.5,16.76,6.55,48,9.52,53,73,88,2.164256198,,
7/20/18,10/1/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY6,M,COLD,160,70,18.5,12,18.52,6.89,47.5,10.7,55,71.5,88.5,2.364582336,,
7/20/18,10/1/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY8,M,RT,155,69,18,13,13,5.99,47,8.89,53,70.5,84.5,1.820664543,,
8/10/18,10/22/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY9,F,RT,160,74,18,13.5,14.48,9.21,57,9.87,60.5,74,86,1.957815035,,
8/10/18,10/22/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY10,M,COLD,159,72.5,18,13,17.06,8.48,56.5,9.77,59,73,86,2.306652244,,
8/10/18,10/22/18,73,10.42857143,NEW_YORK,N11,19x13,19x13_NY12,M,RT,164,73.5,19,14,19.11,9.52,57,10.76,58,76.5,87.5,2.496,,
11/13/18,1/26/19,74,10.57142857,NEW_YORK,N11,19x13,19x13_NY11,F,COLD,155,69,18,13,14.6,7.24,48,9.04,50.5,69,86,1.974040022,,
11/13/18,1/26/19,74,10.57142857,NEW_YORK,N11,19x13,19x13_NY13,F,COLD,144,65,17.5,13,13.62,6.93,48,8.77,49,66,78,2.238658777,,
11/13/18,1/26/19,74,10.57142857,NEW_YORK,N11,19x13,19x13_NY14,M,COLD,155,69,18,13,15.52,7.04,48,9.38,51.5,69.5,85.5,2.123046407,,
11/13/18,1/26/19,74,10.57142857,NEW_YORK,N11,19x13,19x13_NY15,F,RT,146.5,67.5,18,13,11.32,6.77,46.5,7.9,49.5,67.5,79,1.813811889,,
12/30/18,3/17/19,77,11,NEW_YORK,N11,19x13,19x13_NY16,M,COLD,154,66.5,18,12.5,16.2,,,9.91,53.5,68,86,2.190373175,0.1499,
12/30/18,3/17/19,77,11,NEW_YORK,N11,19x13,19x13_NY17,F,COLD,158.5,66,17,12,12.78,,,8.61,53.5,66.5,92,1.509924386,0.1106,
12/30/18,3/17/19,77,11,NEW_YORK,N11,19x13,19x13_NY18,M,RT,160,69,18,13,16,,,9.32,53.5,69,91,1.9321338,0.0889,
2/4/19,4/20/19,75,10.71428571,NEW_YORK,N14,19x13,19x13_NY19,F,COLD,157,72.5,19,13,15.13,,,10.14,64,73,84,2.144274376,0.1249,
2/4/19,4/27/19,82,11.71428571,NEW_YORK,N14,19x13,19x13_NY20,M,COLD,168,76,19,13,21.3,,,11.3,66,77,91,2.572153122,0.176,
2/4/19,4/20/19,75,10.71428571,NEW_YORK,N14,19x13,19x13_NY21,F,RT,157,72.5,19.5,14,14.83,,,10.94,66.5,74,83,2.152707214,0.0786,
2/4/19,4/27/19,82,11.71428571,NEW_YORK,N14,19x13,19x13_NY22,M,RT,161,76,20,14,17.54,,,10.76,65.5,75.5,85.5,2.399370747,0.093,
4/6/19,6/20/19,75,10.71428571,NEW_YORK,N12,19x13,19x13_NY23,F,COLD,159,73,19,13.5,16.69,,,10.29,63.5,74.5,84.5,2.33745317,0.1076,
4/6/19,6/18/19,73,10.42857143,NEW_YORK,N12,19x13,19x13_NY24,M,RT,158,72,19,14,17.95,,,10.69,57.5,73,85,2.484429066,,
4/6/19,6/20/19,75,10.71428571,NEW_YORK,N12,19x13,19x13_NY25,F,RT,151,70,18.5,14,14.08,,,8.93,59,70.5,80.5,2.172755681,0.0511,
4/6/19,6/18/19,73,10.42857143,NEW_YORK,N12,19x13,19x13_NY26,M,COLD,164,74,20,13.5,17.3,,,10.61,65,73,91,2.089119672,,
4/19/19,7/6/19,78,11.14285714,NEW_YORK,N14,19x13,19x13_NY27,F,COLD,163.5,76,19.5,14,18.7,,,12.42,66,76.5,87,2.470603779,0.0591,
4/19/19,7/6/19,78,11.14285714,NEW_YORK,N14,19x13,19x13_NY28,M,RT,162,75,20,14.5,17.91,,,11.56,64.5,76,86,2.421579232,0.094,
4/19/19,7/6/19,78,11.14285714,NEW_YORK,N14,19x13,19x13_NY29,F,RT,158,74,19,14,14.97,,,10.22,62,73.5,84.5,2.096565246,0.0781,
4/19/19,7/6/19,78,11.14285714,NEW_YORK,N14,19x13,19x13_NY31,F,RT,161,73,19,14,14.78,,,10.64,64,73,88,1.90857438,0.0806,
4/19/19,7/19/19,91,13,NEW_YORK,N14,19x13,19x13_NY30,M,RT,162,73.5,19,14,18.26,,,10.16,62,73,89,2.305264487,0.0876,
4/28/19,7/19/19,82,11.71428571,NEW_YORK,N12,19x13,19x13_NY32,M,COLD,167,72.5,19,13.5,17.44,,,9.63,60.5,73,94,1.973743775,0.1361,
4/28/19,7/19/19,82,11.71428571,NEW_YORK,N12,19x13,19x13_NY33,F,RT,159,71.5,19,14,17.23,,,10.62,61,72,87,2.27639054,0.0976,
4/28/19,7/19/19,82,11.71428571,NEW_YORK,N12,19x13,19x13_NY34,M,RT,156.5,72,19,14,16.31,,,9.22,58,72,84.5,2.284233745,0.0911,
