"","DOB","DOD","Age_days","Population","Generation","Mouse_ID","Sex","Environment","TotalLength_mm","TailLength_mm","HindFootLength_mm","EarLength_mm","BodyWeight_g","FinalTailLength_mm","BAT_mass_g","Dorsal_fur_depth","Dorsal_fur_length","AVG_conductance","STD_conductance","Conductivity"
"41","4/30/19","11/23/19",207,"BRAZIL","N14","193x255_BZ46","Male","Warm",175,92.5,18,15,16.49,92.5,NA,0.001,0.004,22.53559975,0.702420943,0.0225356
"42","8/5/19","11/23/19",110,"BRAZIL","N13","193x255_BZ48","Male","Warm",166,82,17.5,14,14.05,82,NA,5e-04,0.003,25.54837755,0.687621161,0.012774189
"43","4/30/19","11/23/19",207,"BRAZIL","N14","193x255_BZ50","Male","Warm",177,90,18,16,15.9,90,NA,0.001,0.004,21.14402696,0.545079518,0.021144027
"44","6/29/18","9/29/19",457,"BRAZIL","N12","193x255_FMM716","Male","Warm",181,92.5,18.5,15.5,18.08,92.5,NA,5e-04,0.004,22.08458776,0.682768039,0.011042294
"45","6/29/18","9/29/19",457,"BRAZIL","N12","193x255_FMM717","Female","Warm",180,90,18,14.5,16.42,90,NA,0.001,0.002,23.79452558,0.717575283,0.023794526
"46","11/7/19","3/7/20",121,"BRAZIL","N14","193x255_MANA50","Male","Warm",170.5,88,19,15.5,16.16,88,NA,0.001,0.004,24.78745476,0.554100579,0.024787455
"47","12/2/18","3/7/20",461,"BRAZIL","N13","193x255_MANA51","Female","Warm",170,86.5,18,15,15.8,86.5,NA,0.00075,0.004,22.09748854,0.559650038,0.016573116
"48","10/15/19","3/7/20",144,"BRAZIL","N13","193x255_MANA52","Male","Warm",176,90.5,18,15.5,18.05,90.5,NA,5e-04,0.0035,22.08919483,0.58711338,0.011044597
"49","10/15/19","3/7/20",144,"BRAZIL","N13","193x255_MANA53","Female","Warm",167,84,18.5,15,14.3,84,NA,0.001,0.003,21.43078943,0.60737119,0.021430789
"50","10/15/19","3/7/20",144,"BRAZIL","N13","193x255_MANA54","Male","Warm",173,90,18.5,15,16.48,90,NA,0.001,0.004,25.24006344,0.571254921,0.025240063
"51","3/16/18","9/29/19",562,"NEW_YORK","N11","19x13_MJS615","Female","Warm",188,80,19,15,27.97,80,NA,0.001,0.005,19.01082412,0.493716171,0.019010824
"52","3/16/18","9/29/19",562,"NEW_YORK","N11","19x13_MJS616","Female","Warm",183,83,20,15,29.48,83,NA,0.001,0.005,17.06247722,0.541217587,0.017062477
"53","6/11/18","9/29/19",475,"NEW_YORK","N12","19x13_MJS623","Female","Warm",176,82,18.5,15,23.59,82,NA,0.001,0.0055,17.82800591,0.475358545,0.017828006
"54","6/11/18","9/29/19",475,"NEW_YORK","N12","19x13_MJS624","Male","Warm",180.5,83,19,15.5,25.92,83,NA,0.001,0.0045,17.82800591,0.475358545,0.017828006
"55","8/17/18","9/29/19",408,"NEW_YORK","N13","19x13_MJS625","Female","Warm",188,88,19,15.5,30.05,88,NA,0.00075,0.005,17.76490976,0.502877946,0.013323682
"56","8/17/18","9/29/19",408,"NEW_YORK","N13","19x13_MJS626","Male","Warm",179,79,19,15.5,29.74,79,NA,5e-04,0.0065,20.0394362,0.438765881,0.010019718
"57","11/22/18","11/23/19",366,"NEW_YORK","N14","19x13_MJS627","Female","Warm",182,83.5,20,15,25.05,83.5,NA,0.00075,0.005,20.49097407,0.551555525,0.015368231
"58","11/22/18","11/23/19",366,"NEW_YORK","N14","19x13_MJS628","Male","Warm",185,85,20,14.5,26.72,85,NA,0.001,0.0055,22.35489364,0.541353796,0.022354894
"59","7/7/19","2/29/20",237,"NEW_YORK","N15","19x13_SARA50","Male","Warm",176,83.5,21,15,18.78,83.5,NA,0.001,0.006,18.21778974,0.46164623,0.01821779
"60","5/3/19","2/29/20",302,"NEW_YORK","N15","19x13_SARA51","Female","Warm",180,81,19,15,22.51,81,NA,0.001,0.005,21.47525557,0.431801456,0.021475256
"61","10/24/19","3/7/20",135,"NEW_YORK","N16","19x13_SARA52","Male","Warm",169,78,20,14,22.46,78,NA,5e-04,0.005,19.57466438,0.470978933,0.009787332
"62","10/24/19","3/7/20",135,"NEW_YORK","N16","19x13_SARA53","Female","Warm",163,75.5,19,14,17.45,75.5,NA,0.001,0.005,17.30745712,0.408634891,0.017307457
"63","10/24/19","3/7/20",135,"NEW_YORK","N16","19x13_SARA54","Male","Warm",172,80,20,14.5,21.18,80,NA,5e-04,0.005,19.74841806,0.521951022,0.009874209
"64","10/24/19","3/7/20",135,"NEW_YORK","N16","19x13_SARA56","Male","Warm",175,83,19,14,21.16,83,NA,5e-04,0.004,20.547394,0.570636623,0.010273697
"65","10/29/19","3/8/20",131,"NEW_YORK","N16","19x13_SARA58","Male","Warm",168,80,20,14.5,17.1,80,NA,5e-04,0.004,19.70895737,0.538736463,0.009854479
